"","NR","WR","SR","ER","NER","All India"
"Coal","600","1266","617","505","15","3003"
"Lignite","21","13","52","0","0","86"
"Hydro","271","54","65","70","17","477"
"Nuclear","27","31","57","0","0","114"
"Gas, Naptha & Diesel","35","56","15","0","29","136"
"RES (Wind, Solar, Biomass & Others)","52","121","158","1","0","332"
"Total","1006","1542","963","575","62","4148"
