"","NR","WR","SR","ER","NER"
"Schedule(MU)","125.7","-100.7","28.9","-63.4","6.9"
"Actual(MU)","116.8","-96.7","29.2","-57.9","6.9"
"O/D/U/D(MU)","-8.9","4.0","0.3","5.5","0.0"
