"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.1","0.0","88.3","11.7"
"SR GRID","0.0","0.0","12.6","24.9","12.6","86.2","1.3"
