"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4677","0","86.5","41.5","0.5","161"
"","Haryana","5598","0","102.8","50.6","0.2","348"
"","Rajasthan","9569","0","191.8","83.0","-0.7","285"
"","Delhi","3432","5","61.6","41.8","-2.8","92"
"","UP","9628","1180","224.2","90.2","-4.2","259"
"","Uttarakhand","1799","40","33.9","23.7","2.3","214"
"","HP","1319","0","24.9","20.4","0.2","96"
"","J&K","1922","100","40.9","34.6","0.5","319"
"","Chandigarh","204","0","3.6","3.3","0.2","31"
"WR","Chhattisgarh","3171","33","69.9","13.7","-2.2","320"
"","Gujarat","10953","30","242.7","49.3","-2.6","438"
"","MP","8358","23","164.9","70.5","-1.7","290"
"","Maharashtra","18016","307","377.8","119.8","6.3","956"
"","Goa","412","1","8.2","7.4","0.1","58"
"","DD","245","1","5.9","5.6","0.3","27"
"","DNH","622","2","14.7","14.4","0.3","24"
"","Essar steel","319","1","7.0","6.6","0.2","36"
"SR","Andhra Pradesh","11526","0","265.8","86.2","6.5","453"
"","Karnataka","8553","500","188.9","16.5","0.6","292"
"","Kerala","3343","150","61.4","27.6","2.5","275"
"","Tamil Nadu","11462","1577","251.7","78.0","3.6","426"
"","Pondy","310","0","6.0","6.4","-0.5","19"
"ER","Bihar","2017","350","43.2","39.2","1.5","180"
"","DVC","2568","0","57.4","-15.2","-1.0","310"
"","Jharkhand","1028","0","20.9","11.9","-1.8","120"
"","Odisha","3585","0","65.7","18.0","-1.0","420"
"","West Bengal","6057","18","113.5","30.1","3.7","370"
"","Sikkim","64","0","0.8","1.3","-0.5","10"
"NER","Arunachal Pradesh","114","6","1.5","1.3","0.2","36"
"","Assam","898","273","16.5","10.5","1.7","126"
"","Manipur","115","7","1.5","1.6","0.0","38"
"","Meghalaya","281","7","4.8","3.2","0.6","55"
"","Mizoram","73","1","1.2","1.0","-0.1","19"
"","Nagaland","95","3","1.6","1.6","-0.2","13"
"","Tripura","202","2","3.1","1.1","-0.5","57"
